Store,Year,Total_Store_Sales,Pct_Dry_Grocer,Pct_Dairy,Pct_Frozen_Food,Pct_Meat,Pct_Produce,Pct_Floral,Pct_Deli,Pct_Bakery,Pct_General_Merchandise,Cluster,Input_#2_Store,Address,City,State,Zip,Type
S0001,2015,23508945.82,0.461347256191005,0.103083711135117,7.71992455083212e-02,0.107677407544427,9.71710393775539e-02,6.76943284562813e-03,4.35499280928625e-02,3.55438762077167e-02,6.76581030973681e-02,3,S0001,1000 W El Norte Pkwy,Escondido,CA,92027,Existing
S0002,2015,17334619.57,0.457527949083223,0.106387614827823,7.88409295330154e-02,0.114903453863337,0.101259398448973,7.43805882092398e-03,3.97924175500092e-02,2.97015275080537e-02,6.41486503646414e-02,3,S0002,12419 Woodside Ave,Lakeside,CA,92040,Existing
S0003,2015,30240661.99,0.421349090976034,0.102356277155029,6.90274951881105e-02,0.114712737477345,0.125398810093972,9.63139266251227e-03,4.17608010835744e-02,3.6108020398531e-02,7.96553749648918e-02,2,S0003,1342 N Alvarado St,Los Angeles,CA,90026,Existing
S0004,2015,27913890.97,0.454559842754878,9.71110184142128e-02,8.02771438209139e-02,0.127727655160358,0.100409215003823,6.11962840234595e-03,4.1785244889491e-02,3.44687102573433e-02,5.75415412966342e-02,3,S0004,671 S Rancho Santa Fe Rd,San Marcos,CA,92078,Existing
S0005,2015,27825886.17,0.44016875132642,0.106268088711872,8.63385221704154e-02,0.101863261521421,0.131112051480084,8.87725043115851e-03,3.53892143446514e-02,2.26068609695603e-02,6.73759990444179e-02,2,S0005,1430 S Fairfax Ave,Los Angeles,CA,90019,Existing
S0006,2015,34625420.87,0.459835154055703,9.86092204573975e-02,7.44431349925711e-02,0.106915913135008,0.101782028967436,8.26503917669203e-03,4.63088698912904e-02,3.54168899377193e-02,6.84237493861833e-02,3,S0006,9643 Mission Gorge Rd,Santee,CA,92071,Existing
S0007,2015,30863087.31,0.44208679782917,0.1021349578005,8.91698520746595e-02,0.11513459312441,0.10344684308253,7.8383337859274e-03,4.62976589363121e-02,3.0176372202992e-02,6.37145911634982e-02,3,S0007,820 Arneill Rd,Camarillo,CA,93010,Existing
S0008,2015,29181879.77,0.428456854340607,0.108732133262435,8.03214638150091e-02,0.106877729076464,0.123696355013802,7.85879599969306e-03,3.26226575362249e-02,2.23977415146482e-02,8.90362694411168e-02,2,S0008,3461 W 3rd St,Los Angeles,CA,90020,Existing
S0009,2015,40678620.31,0.442252268953612,0.100376118680609,7.70513630038108e-02,0.118908012197526,0.103507489386628,7.28825603574164e-03,4.42039365223496e-02,2.57563410955321e-02,8.06562141241903e-02,3,S0009,4033 W Avenue L,Lancaster,CA,93536,Existing
S0010,2015,21703928.12,0.431445351653699,0.114961550563779,8.03417423039273e-02,0.1071483008579,0.121628835822001,1.03830223153172e-02,3.70989502705744e-02,3.80513668048399e-02,5.89408794079622e-02,2,S0010,1040 Coast Village Rd,Montecito,CA,93108,Existing
S0011,2015,22395673.62,0.453793380919971,9.39842835591385e-02,7.18815074426861e-02,0.121442549402539,9.84667243065493e-02,7.89639566108304e-03,4.87167833623751e-02,3.24408447063268e-02,7.13775306393306e-02,3,S0011,3251 De Forest Cir Ste A,Mira Loma,CA,91752,Existing
S0012,2015,49186541.13,0.465998768635106,9.72651219234045e-02,7.43573582524037e-02,0.114390617854775,9.43147434933285e-02,6.82503713999212e-03,4.50660924528401e-02,1.8591681158939e-02,8.31905790892111e-02,1,S0012,1124 W Ocean Ave,Lompoc,CA,93436,Existing
S0013,2015,39169150.41,0.445549198216577,9.07223203159591e-02,7.53523969528446e-02,0.114048296509886,9.26613700325086e-02,7.91171794016964e-03,4.62765957654582e-02,3.42805992967668e-02,9.31975049698301e-02,1,S0013,3520 Riverside Plaza Dr,Riverside,CA,92506,Existing
S0014,2015,30987962.62,0.444373274837776,9.77680803721068e-02,7.71851405440995e-02,9.86968258450804e-02,0.106849081709651,1.0659684666936e-02,3.49266385554973e-02,2.05489027403506e-02,0.108992370728502,1,S0014,3901 Portola Pkwy,Irvine,CA,92620,Existing
S0015,2015,37353757.66,0.447967998890744,9.87655457204677e-02,7.78688036281488e-02,9.99899973651004e-02,0.104974713807682,7.68547417941353e-03,3.49771429126951e-02,2.5105510094483e-02,0.102664813401266,1,S0015,10675 Scripps Poway Pkwy,San Diego,CA,92131,Existing
S0016,2015,23352796.79,0.477239619743208,9.14353402378919e-02,7.80635774118771e-02,0.110087162711957,8.84690342907745e-02,6.25166618426264e-03,4.60523709288869e-02,2.87200400890398e-02,7.36811884021023e-02,3,S0016,1201 Avocado Ave,El Cajon,CA,92020,Existing
S0017,2015,31540952.65,0.438116993273505,0.100133160689425,7.87773101710674e-02,9.76993045896475e-02,0.133662869881643,1.33899763487328e-02,4.08569571217437e-02,2.82389209953048e-02,6.91245069289307e-02,2,S0017,30252 Crown Valley Pkwy,Laguna Niguel,CA,92677,Existing
