Year,Month,Produce,Source
2016,1,21829060.031666,ExistingStores
2016,2,21146329.6319817,ExistingStores
2016,3,23735686.9387899,ExistingStores
2016,4,22409515.2844737,ExistingStores
2016,5,25621828.7250966,ExistingStores
2016,6,26307858.0400465,ExistingStores
2016,7,26705092.5563487,ExistingStores
2016,8,23440761.3295266,ExistingStores
2016,9,20640047.3199708,ExistingStores
2016,10,20086270.4620746,ExistingStores
2016,11,20858119.95754,ExistingStores
2016,12,21255190.2449756,ExistingStores
2012,3,25151525.84,Historical
2012,4,24406048.3899999,Historical
2012,5,28249539.01,Historical
2012,6,28691364.32,Historical
2012,7,28535707.45,Historical
2012,8,25793520.64,Historical
2012,9,21915641.66,Historical
2012,10,21203562.52,Historical
2012,11,21736158.96,Historical
2012,12,21962976.75,Historical
2013,1,20322683.64,Historical
2013,2,19829620.75,Historical
2013,3,22717069.8500001,Historical
2013,4,21625385.04,Historical
2013,5,23000152.4,Historical
2013,6,24755406.2,Historical
2013,7,26803105.5600001,Historical
2013,8,22600217.01,Historical
2013,9,21401265.74,Historical
2013,10,19296578.09,Historical
2013,11,20489773.49,Historical
2013,12,21715706.6699999,Historical
2014,1,22544458.38,Historical
2014,2,21262413.12,Historical
2014,3,23247168.62,Historical
2014,4,22541987.92,Historical
2014,5,25943046.7499999,Historical
2014,6,24782178.43,Historical
2014,7,24263117.59,Historical
2014,8,21879988.86,Historical
2014,9,18407263.58,Historical
2014,10,19497571.95,Historical
2014,11,19444753.17,Historical
2014,12,19240384.75,Historical
2015,1,20088529.29,Historical
2015,2,19772333.34,Historical
2015,3,24608406.71,Historical
2015,4,21559729.45,Historical
2015,5,25792074.5900001,Historical
2015,6,27212464.15,Historical
2015,7,26338477.15,Historical
2015,8,23130626.5999999,Historical
2015,9,20774415.93,Historical
2015,10,20359980.58,Historical
2015,11,21936906.81,Historical
2015,12,20462899.3,Historical
2016,1,2588356.55818689,NewStores
2016,2,2498567.17438226,NewStores
2016,3,2919067.02480063,NewStores
2016,4,2797280.08298446,NewStores
2016,5,3163764.85919132,NewStores
2016,6,3202813.28867789,NewStores
2016,7,3228212.2422663,NewStores
2016,8,2868914.81208235,NewStores
2016,9,2538372.26653368,NewStores
2016,10,2485732.28485161,NewStores
2016,11,2583447.59373453,NewStores
2016,12,2562181.69998,NewStores
