Period,Sub_Period,Sum_forecast,Sum_forecast_high_95,Sum_forecast_high_80,Sum_forecast_low_80,Sum_forecast_low_95
2016,1,2588356.55818689,823200.179674599,795596.513973018,691307.382453251,663703.71675167
2016,2,2498567.17438226,809662.007302997,778975.411668723,663038.693604012,632352.097969738
2016,3,2919067.02480063,960914.020108436,920983.415369492,770121.999559594,730191.39482065
2016,4,2797280.08298446,921132.106348159,879943.37172114,724328.628045844,683139.893418825
2016,5,3163764.85919132,1058929.98673394,1008579.87550725,818352.62712206,768002.515895361
2016,6,3202813.28867789,1078867.36455328,1024796.76651031,820513.184336168,766442.586293193
2016,7,3228212.2422663,1098259.54459892,1040630.44719092,822902.534386774,765273.436978773
2016,8,2868914.81208235,976664.219244083,923239.845336328,721397.756062359,667973.382154603
2016,9,2538372.26653368,868817.404706414,819446.038664766,632916.577610858,583545.211569209
2016,10,2485732.28485161,856074.334592268,805749.728496253,615618.840788565,565294.23469255
2016,11,2583447.59373453,899437.31666961,844869.610057024,638707.907000091,584140.200387505
2016,12,2562181.69998,907730.742211491,851074.47270021,637021.991179864,580365.721668583
